iter	RMSE
0	2.652477868
100	2.510809462
200	2.508493958
300	2.506288857
400	2.503862397
500	2.50137683
600	2.498972549
700	2.496840296
800	2.494716514
900	2.492617925
1000	2.490288345
1100	2.488296704
1200	2.486386979
1300	2.484384704
1400	2.482306069
1500	2.480383644
1600	2.478526652
1700	2.476711563
1800	2.474713832
1900	2.47275468
2000	2.470896799
2100	2.469107152
2200	2.467428097
2300	2.465684037
2400	2.46380579
2500	2.461929988
2600	2.460272583
2700	2.458545804
2800	2.456759871
2900	2.454755106
2999	2.453084442
